[07-23-2020 04:46:27] 	 URL:https://www.jdsports.co.uk/product/white-jordan-legacy-91-jumpman-air-cap/15958751/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 04:46:28] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-mid-womens/16010786/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 04:46:28] 	 URL:https://www.jdsports.co.uk/product/white-jordan-legacy-91-jumpman-air-cap/15973486/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 04:46:28] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-hi-og-womens/16007277/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:10] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-1-mid/16006118/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:10] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-mid-junior/15986906/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:10] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-low-junior/15976976/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:10] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-1-mid-junior/16010852/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:11] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-1-low-junior/15962008/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:11] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-jordan-aura-children/15991595/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:11] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-1-mid-junior/16011924/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:11] 	 URL:https://www.jdsports.co.uk/product/white-nike-jordan-1-mid-baby-and-toddler-shoe/15976985/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:11] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-1-low-junior/16010625/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:12] 	 URL:https://www.jdsports.co.uk/product/white-jordan-jumpman-snapback-cap/15863720/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:12] 	 URL:https://www.jdsports.co.uk/product/white-jordan-3-pack-dri-fit-no-show-socks/213728/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:12] 	 URL:https://www.jdsports.co.uk/product/white-jordan-jumpman-classic-99-metal-cap/15972701/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:12] 	 URL:https://www.jdsports.co.uk/product/white-jordan-jumpman-snapback-cap/15863567/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:12] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-low-womens/16010426/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:13] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-1-low-children/15985000/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:13] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-1-mid-infant/15976986/ 'NoneType' object has no attribute 'find_all' 
